,STUDENT_NUM,STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,ESTABLISHMENT_LOCATION,REGISTRATION_STATUS,PRIOR_EDU_STATUS,LANGUAGE_TEST_RESULTS,UPPER_YEAR_STUDENT_REQUEST,DATE_ENROLLMENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,FIRST_DEGREE_CLASSIFICATION,EXAM_REGISTRATION_DATE,DATE_EXAM_DETAILS_MODIFIED,EXAM_DETAILS_SENT_DUO,FROZEN_STUDENT_STATUS,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_FINAL_EXAM_DATE,SCHOOL_DESCRIPTION,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,PRIOR_EDUCATION_DESCRIPTION,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PREFERRED_EDUCATION,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT,PRIOR_EDUCATION_IBG,STUDENT_AGE,ENROLLMENT_WINDOW,PRIOR_EXAM_YEAR,EXAM_BEFORE_ENROLLMENT_STATUS,DROPOUT_RISK,YEAR
41860,255477,BAMW,2021,2021-12-01,2022-08-31,S,B,V,4.0,2021-11-24,34616.0,2021-11-25,UTRECHT,I,S,N,J,2021-11-24,J,NVT,N,B,2022-09-01,ASW-BACHV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,10710,2009-03-04,04EM00,J,GD,2009-03-04,J,1988-05-04,V,NL,2011.0,N,MBO,J,10710,33,1,2009,done,1,2021
41875,261147,BOEVWIS2,2021,2021-09-01,2022-08-31,S,D,D,4.0,2021-06-16,35221.0,2021-07-29,UTRECHT,I,S,N,J,2021-06-12,J,J,N,D,2014-09-01,TLSC-PROPV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,174,2019-06-12,00YH03,N,N,2013-03-21,J,1994-12-31,M,NL,2014.0,J,VWO,J,174,26,12,2019,pending,1,2021
41883,329041,BACTMU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-01,34644.0,2021-07-29,AMERSFOORT,I,S,N,N,2021-06-30,J,NVT,N,D,2018-09-01,ACTA-PROPV-18,2020-06-16,passed,N,2020-08-24,2020-06-29,J,J,N,373,2016-07-12,25DW00,J,DD,2018-08-16,J,1999-07-28,V,NL,2018.0,N,HAVO,J,373,21,9,2016,done,0,2021
41903,440118,BTBE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-27,39280.0,2021-08-31,UTRECHT,I,S,N,N,2021-04-06,J,J,N,D,2021-09-01,TBBE-PROPV-21,2023-12-18,passed,J,2015-05-29,2024-02-01,N,J,N,372,2019-06-12,14OY00,J,GD,2019-06-12,J,2001-06-17,M,NL,2020.0,N,HAVO,J,372,19,21,2019,done,0,2021
41908,425409,BTICIC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-13,30020.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,D,2019-09-01,TICT-VPICT-19,2021-07-02,passed,N,2021-07-13,2021-07-08,J,J,N,591,2019-06-12,25DW00,N,GV,2021-07-13,N,2001-07-26,M,NL,2019.0,N,HBO,J,591,19,12,2019,pending,0,2021
41947,438794,BTICIC,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-25,30020.0,2021-08-26,UTRECHT,I,S,N,N,2021-06-10,J,NVT,N,B,2022-09-01,TICT-VBACBIM-22,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,370,2020-06-04,02UE00,J,GD,2020-06-04,J,2003-03-05,M,NL,2020.0,J,HAVO,J,370,18,12,2020,pending,1,2021
41951,339184,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-23,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-11,J,NVT,N,B,2018-09-01,APE-BACHV-18,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,N,2013-03-21,N,1998-07-06,V,NL,2017.0,J,HBO,J,591,23,3,2019,pending,1,2021
41978,440985,BTLCCE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-19,34275.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,B,2021-09-01,TCHT-BACHV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,371,2020-06-04,20EA00,J,GD,2020-06-04,N,2003-10-08,V,NL,2020.0,J,HAVO,J,371,17,9,2020,pending,1,2021
41982,296084,BMFC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-23,35520.0,2021-08-24,UTRECHT,I,S,N,N,2021-08-19,J,NVT,N,D,2014-09-01,MEBE-DV-14,2019-12-20,passed,N,2020-02-13,2020-01-24,J,J,N,2,2013-06-26,25LH00,J,N,2013-03-21,N,1993-04-26,M,NL,2014.0,J,HAVO,N,2,28,2,2013,done,0,2021
42006,440118,BTBE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-27,39280.0,2021-08-31,UTRECHT,I,S,N,N,2021-04-06,J,J,N,D,2021-09-01,TBBE-PROPV-21,2023-12-18,passed,J,2015-05-29,2024-02-01,N,J,N,372,2019-06-12,14OY00,J,GD,2019-06-12,J,2001-06-17,M,NL,2020.0,N,HAVO,J,372,19,21,2019,done,0,2021
